SPGTable,,,,,,,,,,,,,
Entity Name,Entity ID,Exchange,SP_SECTOR,Market Capitalization ($M),CIQ EPS Est - # of Est (actual),EPS_FY+1_Current,EPS_FY+1_1M_ago,EPS_FY+1_3M_ago,EPS_MEDIAN_EST,EPS_HIGH_EST,EPS_LOW_EST,EPS_SURPRISE,AS_OF
SP_ENTITY_NAME,SP_ENTITY_ID,SP_EXCHANGE,,SP_MARKETCAP,SP_EPS_NUM_EST,,,,,,,,
,,,,Current,FY+1,,,,,,,,
"American International Group, Inc. (NYSE:AIG)",103330,NYSE,Financials,"42,237.98",21,7.86,7.04,6.94,7.91,8.15,7.25,0.71,06/03/2026
American Superconductor Corporation (NASDAQGS:AMSC),4991374,NASDAQGS,Industrials,"1,318.86",3,3.46,3.46,0.81,3.46,3.50,3.43,4.92,06/03/2026
American Tower Corporation (NYSE:AMT),4290489,NYSE,Real Estate,"87,898.94",10,6.48,5.11,5.11,6.52,6.73,6.21,5.68,06/03/2026
"American Water Works Company, Inc. (NYSE:AWK)",4004387,NYSE,Utilities,"26,839.24",10,6.10,5.73,5.73,6.09,6.19,6.04,-1.40,06/03/2026
"Americold Realty Trust, Inc. (NYSE:COLD)",4247582,NYSE,Real Estate,"3,563.84",4,-0.20,-0.04,-0.02,-0.21,0.00,-0.40,-900.00,06/03/2026
"Ameriprise Financial, Inc. (NYSE:AMP)",113901,NYSE,Financials,"42,388.20",11,43.15,42.29,38.47,43.05,44.41,42.50,1.89,06/03/2026
Ameris Bancorp (NYSE:ABCB),100594,NYSE,Financials,"5,187.67",6,6.50,6.49,5.97,6.51,6.76,6.25,0.34,06/03/2026
"AMETEK, Inc. (NYSE:AME)",4107063,NYSE,Industrials,"50,828.36",10,8.05,8.06,7.35,8.05,8.16,8.00,0.95,06/03/2026
Amgen Inc. (NASDAQGS:AMGN),4092820,NASDAQGS,Health Care,"199,201.68",32,22.37,22.38,21.24,22.35,23.37,21.60,2.54,06/03/2026
"Amicus Therapeutics, Inc. (NASDAQGM:FOLD)",4811744,NASDAQGM,Health Care,"4,502.77",4,0.35,-0.02,-0.02,0.33,0.46,0.27,-350.00,06/03/2026
